Zip_5,MedianHouseholdIncome
08345,64076.0
08350,152525.0
08406,75034.0
08520,116282.0
08530,121667.0
08533,101982.0
08551,154966.0
08618,48179.0
08619,104922.0
08638,65650.0
08640,98259.0
08641,79423.0
08648,118036.0
08723,103953.0
08730,167754.0
08734,121033.0
08735,85265.0
08736,170042.0
08738,218667.0
08741,140034.0
08802,131012.0
08805,84201.0
08810,141308.0
08823,109182.0
08827,128589.0
08829,116424.0
08833,163500.0
08836,237935.0
08837,107948.0
08846,107063.0
08850,127331.0
08857,101192.0
08861,60464.0
08869,103699.0
08873,117866.0
08876,120823.0
08886,157850.0
08889,147048.0
10001,123393.0
10005,211810.0
10013,159474.0
10021,156712.0
10031,65067.0
10033,75585.0
10034,69786.0
10035,40556.0
10036,100225.0
10039,48792.0
10069,226151.0
10075,146556.0
10301,84937.0
10306,97746.0
10307,138807.0
10459,39276.0
10463,72952.0
10464,100306.0
10466,66328.0
10467,47806.0
10473,50609.0
10475,62383.0
10505,145250.0
10509,120987.0
10511,127375.0
10516,135922.0
10523,115809.0
10528,151193.0
10530,118114.0
10532,134662.0
10537,126354.0
10538,186555.0
10541,133929.0
10548,140000.0
10552,97105.0
10553,84173.0
10579,135893.0
10588,171598.0
10589,123293.0
10709,175424.0
10805,89964.0
10925,89313.0
10930,141893.0
10954,112927.0
10958,156250.0
10960,126404.0
10965,136970.0
10968,132105.0
10973,133508.0
10975,102608.0
10984,109583.0
10996,139700.0
11030,247393.0
11106,85573.0
11205,86753.0
11206,57280.0
11208,59988.0
11223,63950.0
11229,72556.0
11230,69522.0
11233,62034.0
11238,132957.0
11377,73292.0
11411,118393.0
11417,86330.0
11418,84927.0
11433,71177.0
11436,86104.0
11501,138323.0
11507,162991.0
11509,162500.0
11510,141120.0
11514,136125.0
11542,92284.0
11545,164583.0
11552,153192.0
11554,128770.0
11558,109443.0
11575,133534.0
11576,232279.0
11577,183233.0
11580,135385.0
11598,181574.0
11693,67829.0
11702,136711.0
11705,161214.0
11710,173136.0
11715,157905.0
11716,120344.0
11726,125691.0
11729,138350.0
11749,112435.0
11751,116328.0
11763,119286.0
11766,157564.0
11770,101250.0
11776,119480.0
11792,147100.0
11796,162443.0
11935,138024.0
11939,116023.0
11957,88293.0
11963,126513.0
11968,146138.0
11978,108938.0
12010,60013.0
12015,84342.0
12019,116329.0
12043,73006.0
12047,66970.0
12052,116250.0
12053,99831.0
12054,128684.0
12058,84865.0
12060,102109.0
12061,117083.0
12065,115681.0
12067,120878.0
12075,83443.0
12077,125370.0
12078,54565.0
12086,81556.0
12090,72500.0
12121,120625.0
12138,78693.0
12147,92813.0
12149,58750.0
12153,85347.0
12158,95949.0
12165,53500.0
12167,58950.0
12170,100469.0
12172,62000.0
12176,49250.0
12182,54663.0
12184,91616.0
12186,116053.0
12189,62763.0
12190,55568.0
12195,143817.0
12197,78750.0
12203,80055.0
12206,38931.0
12222,59274.0
12420,108250.0
12421,97545.0
12422,62321.0
12427,73917.0
12433,63380.0
12435,84479.0
12441,56509.0
12442,50500.0
12444,55000.0
12448,196964.0
12451,54615.0
12455,74271.0
12473,100167.0
12480,64784.0
12491,71963.0
12492,125313.0
12496,68173.0
12498,80221.0
12507,113793.0
12508,88510.0
12512,96151.0
12522,82636.0
12526,87107.0
12540,107436.0
12561,89694.0
12565,62972.0
12572,96377.0
12583,69063.0
12585,112885.0
12594,130206.0
12719,75487.0
12725,88929.0
12729,67917.0
12764,62750.0
12780,72219.0
12787,57958.0
12791,85181.0
12801,70019.0
12812,170156.0
12817,90469.0
12819,62059.0
12823,114450.0
12835,70638.0
12837,76979.0
12852,76000.0
12853,58850.0
12859,72847.0
12884,46071.0
12914,43750.0
12921,100500.0
12922,95625.0
12923,50000.0
12926,55481.0
12934,76167.0
12941,77833.0
12945,88114.0
12953,64673.0
12957,57839.0
12974,43832.0
12978,97470.0
12980,61447.0
12986,60717.0
12997,80568.0
12998,41411.0
13020,90074.0
13035,110972.0
13042,102031.0
13054,99643.0
13061,83239.0
13063,80250.0
13084,87917.0
13104,123770.0
13108,90377.0
13117,42750.0
13118,67614.0
13124,95625.0
13126,63590.0
13131,66992.0
13138,86382.0
13143,72371.0
13144,62578.0
13152,102727.0
13153,147901.0
13155,66146.0
13158,80809.0
13160,88750.0
13167,74700.0
13202,27365.0
13208,40641.0
13210,38783.0
13215,112328.0
13303,86012.0
13304,105313.0
13309,70377.0
